50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
500	500	50	50	50	50	50	50	50	50	50	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
500	500	50	50	50	50	50	50	50	50	50	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
500	500	50	50	50	50	50	50	50	50	50	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
500	500	50	50	50	50	50	50	50	50	50	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
500	500	50	50	50	50	50	50	50	50	50	500	500	500	500	500	500	500	500	500	500	500	50	50	50	50	50	500	500	500
500	500	50	50	50	50	50	50	50	50	50	500	500	500	500	500	500	500	500	500	500	500	50	50	50	50	50	500	500	500
500	500	50	50	50	50	50	50	50	50	50	500	500	500	500	500	500	500	500	500	500	500	50	50	50	50	50	500	500	500
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	50	50	50	50	50	500	500	500
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	50	50	50	50	50	500	500	500
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	50	50	50	50	50	500	500	500
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	50	50	50	50	50	500	500	500
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
